24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | static, -0.98X -0.63Y 10.12Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 97% LPG | static, -1.84X -1.02Y 10.90Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | static, -1.06X -1.37Y 9.57Z m/s^2 
24 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | static, -2.6X -0.86Y 9.45Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -1.81X -0.00Y 8.47Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 96% LPG | static, -2.35X 1.22Y 10.12Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -4.12X -1.45Y 10.16Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -3.3X -0.98Y 9.77Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -3.41X -0.35Y 10.32Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -2.43X 0.90Y 10.00Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -2.12X 2.67Y 8.86Z m/s^2 
25 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 97% LPG | moving, -3.22X 1.49Y 9.06Z m/s^2 
26 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | static, -3.81X 1.18Y 9.65Z m/s^2 
26 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -3.73X 1.61Y 9.45Z m/s^2 
26 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 97% LPG | moving, -3.3X 2.08Y 8.63Z m/s^2 
26 s | 24C, 87%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -3.6X 2.08Y 9.02Z m/s^2 
26 s | 24C, 87%, 0 UV, 3 Cd, 00% AQI, 97% LPG | moving, -3.6X 2.55Y 9.14Z m/s^2 
26 s | 24C, 88%, 0 UV, 3 Cd, 100% AQI, 7% LPG | moving, -3.69X 2.51Y 8.94Z m/s^2 
26 s | 24C, 88%, 0 UV, 3 Cd, 00% AQI, 97% LPG | static, -3.7X 2.35Y 9.18Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 00% AQI, 97% LPG | static, -3.85X 2.51Y 9.18Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 100% AQI, 97% LPG | moving, -3.6X 2.55Y 8.98Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 00% AQI, 97% LPG | moving, -3.4X 2.63Y 8.75Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 100% AQI, 98% LPG | moving, -3.45X 2.74Y 9.26Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 100% AQI, 98% LPG | moving, -3.4X 2.86Y 9.26Z m/s^2 
27 s | 24C, 88%, 0 UV, 3 Cd, 00% AQI, 98% LPG | static, -3.69X 2.74Y 9.18Z m/s^2 
